CBSA,MSA,Employment,GDP,Population,Unemployment,Total
45220,"tallahassee, fl",9.315499248,18.64887502,2.548980143,3.2,491.5
45300,"tampa-st. petersburg-clearwater, fl",13.3233809,21.87576021,7.067965447,3.2,275.5
45460,"terre haute, in",-0.045877572,4.008212683,-0.532650175,4.3,1289.5
45500,"texarkana, tx-ar",2.169368818,10.15321135,-0.323631101,4.3,1159.5
45540,"the villages, fl",17.38409367,32.30602052,13.1060166,4.6,330.0
45780,"toledo, oh",2.227600074,12.28996808,-0.643525349,4.4,1140.5
45820,"topeka, ks",-0.257362073,11.97774721,-0.664182939,3.3,1058.5
45940,"trenton-princeton, nj",8.197706409,17.56883588,-0.188523432,3.2,660.5
46060,"tucson, az",7.336770653,24.99440739,3.783161877,4.4,582.5
46140,"tulsa, ok",3.558572819,10.51785065,1.804417459,3.3,872.5
46220,"tuscaloosa, al",6.964080239,18.2425545,1.196871512,2.8,552.0
46300,"twin falls, id",8.662046474,20.22017489,5.772886253,2.8,323.0
46340,"tyler, tx",4.560318892,11.44767788,4.658932506,3.3,712.5
46520,"urban honolulu, hi",1.744428292,13.13173977,-1.664978246,2.6,904.0
46540,"utica-rome, ny",2.132015211,19.53509125,-1.335755794,4.4,1025.5
46660,"valdosta, ga",4.527035916,18.43108757,2.777874692,3.5,664.5
46700,"vallejo, ca",10.24190931,16.59241638,3.28419576,3.7,571.5
47020,"victoria, tx",-2.279102384,2.641553933,0.09332758,3.4,1165.5
47220,"vineland-bridgeton, nj",2.539882733,8.085299791,-3.351388386,5.5,1339.0
47260,"virginia beach-norfolk-newport news, va-nc",5.693498238,11.68683617,0.715180432,3.1,800.5
47300,"visalia, ca",6.454623493,23.96333535,1.976109073,9.6,773.0
47380,"waco, tx",8.212995204,16.55620655,4.286910835,3.3,506.5
47460,"walla walla, wa",4.902295904,24.35103946,1.381565775,5.0,795.5
47580,"warner robins, ga",10.70184765,19.49463051,5.17093702,3.5,419.5
47900,"washington-arlington-alexandria, dc-va-md-wv",7.609935179,15.56964011,3.061019536,3.1,552.5
47940,"waterloo-cedar falls, ia",0.043054591,-1.040776061,-1.363753424,3.1,1161.5
48060,"watertown-fort drum, ny",-2.129423572,3.907964511,-5.6173789,5.6,1477.0
48140,"wausau-weston, wi",2.050551999,16.41626934,0.06373291,2.9,806.0
48260,"weirton-steubenville, wv-oh",-2.324267456,5.989859762,-3.804748684,5.6,1464.0
48300,"wenatchee, wa",6.137110908,17.1793678,4.362985137,5.1,747.5
48540,"wheeling, wv-oh",-0.429226656,37.79466248,-3.613421478,5.4,1078.0
48620,"wichita, ks",3.326595172,20.94507984,0.734323445,3.4,748.5
48660,"wichita falls, tx",2.998356289,15.35990572,0.780234937,3.1,799.5
48700,"williamsport, pa",-3.193790559,5.499422152,-1.988788733,4.8,1399.5
48900,"wilmington, nc",13.32226952,21.72905231,7.47160897,3.6,330.0
49020,"winchester, va-wv",7.223479151,14.04869042,4.678144827,2.7,469.0
49180,"winston-salem, nc",6.389608742,13.96972001,3.006504875,3.7,712.5
49340,"worcester, ma-ct",5.677778977,13.94484145,1.369564008,3.2,726.5
49420,"yakima, wa",6.186625194,24.30086112,1.240112994,7.0,815.0
49620,"york-hanover, pa",4.926748225,12.93587749,1.65640047,3.8,856.0
49660,"youngstown-warren-boardman, oh-pa",-1.471502447,8.218357142,-2.317246054,5.7,1414.5
49700,"yuba city, ca",10.10415908,24.61195088,3.727698477,6.8,614.0
49740,"yuma, az",6.405594406,23.80228636,4.191806459,16.4,698.0
