,MSA,year,value
785,"Athens-Clarke County, GA",2012,0.490070618
1169,"Athens-Clarke County, GA",2013,0.481350271
1553,"Athens-Clarke County, GA",2014,0.467667535
1937,"Athens-Clarke County, GA",2015,0.469898551
2321,"Athens-Clarke County, GA",2016,0.479347816
2705,"Athens-Clarke County, GA",2017,0.486408807
3089,"Athens-Clarke County, GA",2018,0.475655891
3473,"Athens-Clarke County, GA",2019,0.463307602
3857,"Athens-Clarke County, GA",2020,0.459462918
4241,"Athens-Clarke County, GA",2021,0.458899465
4625,"Athens-Clarke County, GA",2022,0.458816889
5009,"Athens-Clarke County, GA",2023,0.458804787
5393,"Athens-Clarke County, GA",2024,0.458803014
18,"Atlanta-Sandy Springs-Alpharetta, GA",2010,0.517602504
402,"Atlanta-Sandy Springs-Alpharetta, GA",2011,0.521312179
786,"Atlanta-Sandy Springs-Alpharetta, GA",2012,0.515720989
1170,"Atlanta-Sandy Springs-Alpharetta, GA",2013,0.506746901
1554,"Atlanta-Sandy Springs-Alpharetta, GA",2014,0.502656438
1938,"Atlanta-Sandy Springs-Alpharetta, GA",2015,0.503165467
2322,"Atlanta-Sandy Springs-Alpharetta, GA",2016,0.513933135
2706,"Atlanta-Sandy Springs-Alpharetta, GA",2017,0.518716607
3090,"Atlanta-Sandy Springs-Alpharetta, GA",2018,0.515519394
3474,"Atlanta-Sandy Springs-Alpharetta, GA",2019,0.51971625
3858,"Atlanta-Sandy Springs-Alpharetta, GA",2020,0.523135598
4242,"Atlanta-Sandy Springs-Alpharetta, GA",2021,0.522718971
4626,"Atlanta-Sandy Springs-Alpharetta, GA",2022,0.522769734
5010,"Atlanta-Sandy Springs-Alpharetta, GA",2023,0.522763549
5394,"Atlanta-Sandy Springs-Alpharetta, GA",2024,0.522764303
19,"Atlantic City-Hammonton, NJ",2010,0.502297486
403,"Atlantic City-Hammonton, NJ",2011,0.504393328
787,"Atlantic City-Hammonton, NJ",2012,0.506301228
1171,"Atlantic City-Hammonton, NJ",2013,0.482636686
1555,"Atlantic City-Hammonton, NJ",2014,0.467224061
1939,"Atlantic City-Hammonton, NJ",2015,0.451362746
2323,"Atlantic City-Hammonton, NJ",2016,0.44341116
2707,"Atlantic City-Hammonton, NJ",2017,0.433566355
3091,"Atlantic City-Hammonton, NJ",2018,0.449014921
3475,"Atlantic City-Hammonton, NJ",2019,0.456843782
3859,"Atlantic City-Hammonton, NJ",2020,0.460748191
4243,"Atlantic City-Hammonton, NJ",2021,0.462726482
4627,"Atlantic City-Hammonton, NJ",2022,0.463728845
5011,"Atlantic City-Hammonton, NJ",2023,0.464236723
5395,"Atlantic City-Hammonton, NJ",2024,0.464494055
20,"Auburn-Opelika, AL",2010,0.482513459
404,"Auburn-Opelika, AL",2011,0.47269132
788,"Auburn-Opelika, AL",2012,0.467795675
1172,"Auburn-Opelika, AL",2013,0.466645588
1556,"Auburn-Opelika, AL",2014,0.463662781
1940,"Auburn-Opelika, AL",2015,0.455146094
2324,"Auburn-Opelika, AL",2016,0.464012867
2708,"Auburn-Opelika, AL",2017,0.457420714
3092,"Auburn-Opelika, AL",2018,0.465299164
3476,"Auburn-Opelika, AL",2019,0.471703273
3860,"Auburn-Opelika, AL",2020,0.471323702
4244,"Auburn-Opelika, AL",2021,0.471215918
4628,"Auburn-Opelika, AL",2022,0.471185312
5012,"Auburn-Opelika, AL",2023,0.47117662
5396,"Auburn-Opelika, AL",2024,0.471174152
21,"Augusta-Richmond County, GA-SC",2010,0.452291713
405,"Augusta-Richmond County, GA-SC",2011,0.456430685
789,"Augusta-Richmond County, GA-SC",2012,0.452176826
1173,"Augusta-Richmond County, GA-SC",2013,0.439751846
1557,"Augusta-Richmond County, GA-SC",2014,0.438167829
1941,"Augusta-Richmond County, GA-SC",2015,0.439039035
2325,"Augusta-Richmond County, GA-SC",2016,0.43973487
2709,"Augusta-Richmond County, GA-SC",2017,0.443459342
3093,"Augusta-Richmond County, GA-SC",2018,0.441601666
3477,"Augusta-Richmond County, GA-SC",2019,0.438561201
3861,"Augusta-Richmond County, GA-SC",2020,0.438223351
4245,"Augusta-Richmond County, GA-SC",2021,0.438292366
4629,"Augusta-Richmond County, GA-SC",2022,0.438278268
5013,"Augusta-Richmond County, GA-SC",2023,0.438281148
5397,"Augusta-Richmond County, GA-SC",2024,0.43828056
22,"Austin-Round Rock-Georgetown, TX",2010,0.544638443
406,"Austin-Round Rock-Georgetown, TX",2011,0.544843544
790,"Austin-Round Rock-Georgetown, TX",2012,0.546188622
1174,"Austin-Round Rock-Georgetown, TX",2013,0.546424788
1558,"Austin-Round Rock-Georgetown, TX",2014,0.540959512
1942,"Austin-Round Rock-Georgetown, TX",2015,0.544463557
2326,"Austin-Round Rock-Georgetown, TX",2016,0.548765868
2710,"Austin-Round Rock-Georgetown, TX",2017,0.553954549
3094,"Austin-Round Rock-Georgetown, TX",2018,0.561749566
3478,"Austin-Round Rock-Georgetown, TX",2019,0.563607194
3862,"Austin-Round Rock-Georgetown, TX",2020,0.564891588
4246,"Austin-Round Rock-Georgetown, TX",2021,0.565626671
4630,"Austin-Round Rock-Georgetown, TX",2022,0.566047373
5014,"Austin-Round Rock-Georgetown, TX",2023,0.566288149
5398,"Austin-Round Rock-Georgetown, TX",2024,0.566425949
23,"Bakersfield, CA",2010,0.444803542
407,"Bakersfield, CA",2011,0.458331073
791,"Bakersfield, CA",2012,0.45770414
1175,"Bakersfield, CA",2013,0.44974594
1559,"Bakersfield, CA",2014,0.443770882
1943,"Bakersfield, CA",2015,0.437888614
2327,"Bakersfield, CA",2016,0.432682527
2711,"Bakersfield, CA",2017,0.424066553
3095,"Bakersfield, CA",2018,0.431311384
3479,"Bakersfield, CA",2019,0.433018367
3863,"Bakersfield, CA",2020,0.433569674
4247,"Bakersfield, CA",2021,0.434044488
4631,"Bakersfield, CA",2022,0.434453423
5015,"Bakersfield, CA",2023,0.434805618
5399,"Bakersfield, CA",2024,0.435108948
24,"Baltimore-Columbia-Towson, MD",2010,0.526072103
408,"Baltimore-Columbia-Towson, MD",2011,0.527559775
792,"Baltimore-Columbia-Towson, MD",2012,0.529760546
1176,"Baltimore-Columbia-Towson, MD",2013,0.523716754
1560,"Baltimore-Columbia-Towson, MD",2014,0.52462847
1944,"Baltimore-Columbia-Towson, MD",2015,0.527631554
2328,"Baltimore-Columbia-Towson, MD",2016,0.529750608
2712,"Baltimore-Columbia-Towson, MD",2017,0.533855098
3096,"Baltimore-Columbia-Towson, MD",2018,0.537972959
3480,"Baltimore-Columbia-Towson, MD",2019,0.544452194
3864,"Baltimore-Columbia-Towson, MD",2020,0.545917315
4248,"Baltimore-Columbia-Towson, MD",2021,0.547380145
4632,"Baltimore-Columbia-Towson, MD",2022,0.548840688
5016,"Baltimore-Columbia-Towson, MD",2023,0.550298948
5400,"Baltimore-Columbia-Towson, MD",2024,0.551754928
25,"Bangor, ME",2010,0.467070928
409,"Bangor, ME",2011,0.474905534
793,"Bangor, ME",2012,0.476390148
1177,"Bangor, ME",2013,0.476458994
1561,"Bangor, ME",2014,0.468201905
1945,"Bangor, ME",2015,0.465052755
2329,"Bangor, ME",2016,0.471093549
2713,"Bangor, ME",2017,0.465897326
3097,"Bangor, ME",2018,0.466917407
3481,"Bangor, ME",2019,0.473269448
3865,"Bangor, ME",2020,0.471865992
4249,"Bangor, ME",2021,0.471382242
4633,"Bangor, ME",2022,0.471215501
5017,"Bangor, ME",2023,0.471158028
5401,"Bangor, ME",2024,0.471138218
26,"Barnstable Town, MA",2010,0.53871023
410,"Barnstable Town, MA",2011,0.534584595
794,"Barnstable Town, MA",2012,0.537413636
1178,"Barnstable Town, MA",2013,0.533885268
1562,"Barnstable Town, MA",2014,0.553196851
1946,"Barnstable Town, MA",2015,0.545724879
2330,"Barnstable Town, MA",2016,0.552723135
2714,"Barnstable Town, MA",2017,0.56343495
3098,"Barnstable Town, MA",2018,0.573956181
3482,"Barnstable Town, MA",2019,0.57491901
3866,"Barnstable Town, MA",2020,0.574843691
4250,"Barnstable Town, MA",2021,0.574851648
4634,"Barnstable Town, MA",2022,0.574850807
5018,"Barnstable Town, MA",2023,0.574850896
5402,"Barnstable Town, MA",2024,0.574850886
27,"Baton Rouge, LA",2010,0.46901329
411,"Baton Rouge, LA",2011,0.464044797
795,"Baton Rouge, LA",2012,0.469341555
1179,"Baton Rouge, LA",2013,0.471821384
1563,"Baton Rouge, LA",2014,0.493368775
1947,"Baton Rouge, LA",2015,0.488557475
2331,"Baton Rouge, LA",2016,0.479327624
2715,"Baton Rouge, LA",2017,0.485593384
3099,"Baton Rouge, LA",2018,0.490523401
3483,"Baton Rouge, LA",2019,0.488814857
3867,"Baton Rouge, LA",2020,0.488387651
4251,"Baton Rouge, LA",2021,0.488211728
4635,"Baton Rouge, LA",2022,0.488139283
5019,"Baton Rouge, LA",2023,0.48810945
5403,"Baton Rouge, LA",2024,0.488097165
28,"Battle Creek, MI",2010,0.464660061
412,"Battle Creek, MI",2011,0.460264239
796,"Battle Creek, MI",2012,0.467674061
1180,"Battle Creek, MI",2013,0.4642934
1564,"Battle Creek, MI",2014,0.476172814
1948,"Battle Creek, MI",2015,0.477431938
2332,"Battle Creek, MI",2016,0.475287322
2716,"Battle Creek, MI",2017,0.468952154
3100,"Battle Creek, MI",2018,0.469544719
3484,"Battle Creek, MI",2019,0.464747054
3868,"Battle Creek, MI",2020,0.465810649
4252,"Battle Creek, MI",2021,0.465693082
4636,"Battle Creek, MI",2022,0.465706078
5020,"Battle Creek, MI",2023,0.465704641
5404,"Battle Creek, MI",2024,0.4657048
29,"Bay City, MI",2010,0.500794027
413,"Bay City, MI",2011,0.494316542
797,"Bay City, MI",2012,0.494601139
1181,"Bay City, MI",2013,0.492490215
1565,"Bay City, MI",2014,0.496737265
1949,"Bay City, MI",2015,0.492640421
2333,"Bay City, MI",2016,0.49071458
2717,"Bay City, MI",2017,0.482579653
3101,"Bay City, MI",2018,0.480443964
3485,"Bay City, MI",2019,0.479539592
3869,"Bay City, MI",2020,0.47953959
4253,"Bay City, MI",2021,0.47953959
4637,"Bay City, MI",2022,0.47953959
5021,"Bay City, MI",2023,0.47953959
5405,"Bay City, MI",2024,0.47953959
30,"Beaumont-Port Arthur, TX",2010,0.475168978
414,"Beaumont-Port Arthur, TX",2011,0.477852675
798,"Beaumont-Port Arthur, TX",2012,0.467211137
1182,"Beaumont-Port Arthur, TX",2013,0.455793147
1566,"Beaumont-Port Arthur, TX",2014,0.455913556
1950,"Beaumont-Port Arthur, TX",2015,0.442550497
2334,"Beaumont-Port Arthur, TX",2016,0.441134416
2718,"Beaumont-Port Arthur, TX",2017,0.437365778
3102,"Beaumont-Port Arthur, TX",2018,0.440513947
3486,"Beaumont-Port Arthur, TX",2019,0.443403989
3870,"Beaumont-Port Arthur, TX",2020,0.441398529
4254,"Beaumont-Port Arthur, TX",2021,0.439418939
4638,"Beaumont-Port Arthur, TX",2022,0.437464885
5022,"Beaumont-Port Arthur, TX",2023,0.435536036
5406,"Beaumont-Port Arthur, TX",2024,0.433632069
31,"Beckley, WV",2010,0.396545791
415,"Beckley, WV",2011,0.40249549
799,"Beckley, WV",2012,0.394612741
1183,"Beckley, WV",2013,0.381364791
1567,"Beckley, WV",2014,0.375484425
1951,"Beckley, WV",2015,0.372286393
2335,"Beckley, WV",2016,0.369537248
2719,"Beckley, WV",2017,0.379007862
3103,"Beckley, WV",2018,0.389521485
3487,"Beckley, WV",2019,0.401997115
3871,"Beckley, WV",2020,0.411681097
4255,"Beckley, WV",2021,0.416023261
4639,"Beckley, WV",2022,0.417970227
5023,"Beckley, WV",2023,0.418843219
5407,"Beckley, WV",2024,0.419234657
32,"Bellingham, WA",2010,0.513523035
416,"Bellingham, WA",2011,0.505562927
800,"Bellingham, WA",2012,0.506670311
1184,"Bellingham, WA",2013,0.496605572
1568,"Bellingham, WA",2014,0.495613824
1952,"Bellingham, WA",2015,0.502284786
2336,"Bellingham, WA",2016,0.502899495
2720,"Bellingham, WA",2017,0.502669256
3104,"Bellingham, WA",2018,0.510441969
3488,"Bellingham, WA",2019,0.510558481
3872,"Bellingham, WA",2020,0.51055848
4256,"Bellingham, WA",2021,0.51055848
4640,"Bellingham, WA",2022,0.51055848
5024,"Bellingham, WA",2023,0.51055848
5408,"Bellingham, WA",2024,0.51055848
33,"Bend, OR",2010,0.514688542
417,"Bend, OR",2011,0.49907303
801,"Bend, OR",2012,0.479750122
1185,"Bend, OR",2013,0.470486815
1569,"Bend, OR",2014,0.479334796
1953,"Bend, OR",2015,0.49238433
2337,"Bend, OR",2016,0.500332105
2721,"Bend, OR",2017,0.499716189
3105,"Bend, OR",2018,0.496500873
3489,"Bend, OR",2019,0.482498027
3873,"Bend, OR",2020,0.463925822
4257,"Bend, OR",2021,0.446947349
4641,"Bend, OR",2022,0.431425846
5025,"Bend, OR",2023,0.417236287
5409,"Bend, OR",2024,0.404264373
34,"Billings, MT",2010,0.480697734
418,"Billings, MT",2011,0.489613471
802,"Billings, MT",2012,0.494863755
1186,"Billings, MT",2013,0.488224403
1570,"Billings, MT",2014,0.486207646
1954,"Billings, MT",2015,0.493629399
2338,"Billings, MT",2016,0.488678492
2722,"Billings, MT",2017,0.485429153
3106,"Billings, MT",2018,0.485335982
3490,"Billings, MT",2019,0.478595452
3874,"Billings, MT",2020,0.477140064
4258,"Billings, MT",2021,0.477739743
4642,"Billings, MT",2022,0.477492651
5026,"Billings, MT",2023,0.477594463
5410,"Billings, MT",2024,0.477552512
35,"Binghamton, NY",2010,0.48239088
419,"Binghamton, NY",2011,0.476630248
803,"Binghamton, NY",2012,0.474389925
1187,"Binghamton, NY",2013,0.453976945
1571,"Binghamton, NY",2014,0.442837195
1955,"Binghamton, NY",2015,0.44623965
2339,"Binghamton, NY",2016,0.440954784
2723,"Binghamton, NY",2017,0.43640907
3107,"Binghamton, NY",2018,0.441576596
3491,"Binghamton, NY",2019,0.443330498
3875,"Binghamton, NY",2020,0.441320529
4259,"Binghamton, NY",2021,0.441761921
4643,"Binghamton, NY",2022,0.441664991
5027,"Binghamton, NY",2023,0.441686277
5411,"Binghamton, NY",2024,0.441681603
36,"Birmingham-Hoover, AL",2010,0.511010938
420,"Birmingham-Hoover, AL",2011,0.505356052
804,"Birmingham-Hoover, AL",2012,0.505295706
1188,"Birmingham-Hoover, AL",2013,0.502158672
1572,"Birmingham-Hoover, AL",2014,0.494386606
1956,"Birmingham-Hoover, AL",2015,0.497622602
2340,"Birmingham-Hoover, AL",2016,0.498408406
2724,"Birmingham-Hoover, AL",2017,0.499164989
3108,"Birmingham-Hoover, AL",2018,0.510905202
3492,"Birmingham-Hoover, AL",2019,0.51338044
3876,"Birmingham-Hoover, AL",2020,0.513628123
4260,"Birmingham-Hoover, AL",2021,0.513648182
4644,"Birmingham-Hoover, AL",2022,0.513649807
5028,"Birmingham-Hoover, AL",2023,0.513649939
5412,"Birmingham-Hoover, AL",2024,0.513649949
37,"Bismarck, ND",2010,0.578182375
421,"Bismarck, ND",2011,0.563567093
805,"Bismarck, ND",2012,0.556280742
1189,"Bismarck, ND",2013,0.540657497
1573,"Bismarck, ND",2014,0.532814866
1957,"Bismarck, ND",2015,0.542413724
2341,"Bismarck, ND",2016,0.542807291
2725,"Bismarck, ND",2017,0.525371736
3109,"Bismarck, ND",2018,0.517294335
3493,"Bismarck, ND",2019,0.517320801
3877,"Bismarck, ND",2020,0.514525782
4261,"Bismarck, ND",2021,0.514387613
4645,"Bismarck, ND",2022,0.514380783
5029,"Bismarck, ND",2023,0.514380445
5413,"Bismarck, ND",2024,0.514380428
38,"Blacksburg-Christiansburg, VA ",2010,0.552071648
422,"Blacksburg-Christiansburg, VA ",2011,0.556833617
806,"Blacksburg-Christiansburg, VA ",2012,0.557811358
1190,"Blacksburg-Christiansburg, VA ",2013,0.556027596
1574,"Blacksburg-Christiansburg, VA ",2014,0.548555116
1958,"Blacksburg-Christiansburg, VA ",2015,0.546489667
2342,"Blacksburg-Christiansburg, VA ",2016,0.539952693
2726,"Blacksburg-Christiansburg, VA ",2017,0.53937757
3110,"Blacksburg-Christiansburg, VA ",2018,0.543888663
3494,"Blacksburg-Christiansburg, VA ",2019,0.555956808
